Estabelecimentos encontrados: 262
Tempo DOM: 0.1611s
Tempo SAX: 0.0571s


Estabelecimentos encontrados:

Lat: -12.9784700, Lgt: -38.4547845, Tipo: fashion_accessories, Nome: Chilli Beans
Lat: -12.9775344, Lgt: -38.4561465, Tipo: musical_instrument, Nome: Urban Music
Lat: -12.9783945, Lgt: -38.4549160, Tipo: cosmetics, Nome: L'Occitane
Lat: -12.9786211, Lgt: -38.4546091, Tipo: sports, Nome: Adidas
Lat: -12.9779082, Lgt: -38.4555060, Tipo: shoes, Nome: Havaianas
Lat: -12.9793505, Lgt: -38.4524317, Tipo: clinic, Nome: Clínica Oral Imagem
Lat: -12.9776741, Lgt: -38.4552780, Tipo: cosmetics, Nome: Natura
Lat: -12.9791561, Lgt: -38.4532463, Tipo: clothes, Nome: C&A
Lat: -12.9790131, Lgt: -38.4598542, Tipo: bank, Nome: Sicoob
Lat: -12.9791526, Lgt: -38.4534380, Tipo: bed, Nome: Ortobom
Lat: -12.9785843, Lgt: -38.4541547, Tipo: clothes, Nome: Lupo
Lat: -12.9787195, Lgt: -38.4536792, Tipo: clothes, Nome: Marisa
Lat: -12.9794047, Lgt: -38.4539717, Tipo: mobile_phone, Nome: iPlace
Lat: -12.9785406, Lgt: -38.4549166, Tipo: mobile_phone, Nome: Xiaomi
Lat: -12.9783590, Lgt: -38.4551696, Tipo: chocolate, Nome: Lindt
Lat: -12.9781935, Lgt: -38.4545271, Tipo: restaurant, Nome: Meu Chapa
Lat: -12.9777621, Lgt: -38.4561282, Tipo: clothes, Nome: Adidas Originals
Lat: -12.9772594, Lgt: -38.4558220, Tipo: cosmetics, Nome: Avatim
Lat: -12.9782098, Lgt: -38.4559685, Tipo: clothes, Nome: Hering Kids
Lat: -12.9789799, Lgt: -38.4531424, Tipo: shoes, Nome: Santa Lolla
Lat: -12.9797347, Lgt: -38.4535939, Tipo: sports, Nome: Decathlon
Lat: -12.9777333, Lgt: -38.4562937, Tipo: department_store, Nome: Freitas Varejo
Lat: -12.9775060, Lgt: -38.4559234, Tipo: shoes, Nome: Crocs
Lat: -12.9777662, Lgt: -38.4563924, Tipo: clothes, Nome: Studio Z
Lat: -12.9795163, Lgt: -38.4538416, Tipo: fast_food, Nome: Baby Beef Burger
Lat: -12.9793893, Lgt: -38.4536845, Tipo: restaurant, Nome: Divino Fogão
Lat: -12.9790493, Lgt: -38.4543484, Tipo: beauty, Nome: Espaçolaser
Lat: -12.9787278, Lgt: -38.4551634, Tipo: clothes, Nome: Calvin Klein
Lat: -12.9788619, Lgt: -38.4549395, Tipo: clothes, Nome: Lacoste
Lat: -12.9784939, Lgt: -38.4555491, Tipo: clothes, Nome: Armani Exchange
Lat: -12.9784151, Lgt: -38.4553522, Tipo: mobile_phone, Nome: Vivo
Lat: -12.9784860, Lgt: -38.4550986, Tipo: mobile_phone, Nome: TIM
Lat: -12.9774582, Lgt: -38.4556908, Tipo: beauty, Nome: Depyl Care
Lat: -12.9777726, Lgt: -38.4553229, Tipo: clothes, Nome: Track&Field
Lat: -12.9788982, Lgt: -38.4544516, Tipo: clothes, Nome: Live!
Lat: -12.9784310, Lgt: -38.4546683, Tipo: ice_cream, Nome: Bacio di Latte
Lat: -12.9787556, Lgt: -38.4540739, Tipo: cafe, Nome: Café Feito a Grão
Lat: -12.9806159, Lgt: -38.4619203, Tipo: cafe, Nome: Café 638
Lat: -12.9816206, Lgt: -38.4590891, Tipo: community_centre, Nome: Na Selva
